Kehra ,575740,6578272
Kuressaare ,411347,6457438
Paldiski ,501787,6578703
Kunda ,643351,6599243
Paide ,589739,6528346
Tamsalu ,620408,6559985
Haapsalu ,473490,6532856
Kilingi-Nõmme ,556538,6445970
Lihula ,490161,6505069
Kärdla ,427819,6540368
Räpina ,703852,6445109
Rapla ,546445,6540209
Karksi-Nuia ,591499,6441172
Mõisaküla ,569715,6439681
Abja-Paluoja ,579742,6444023
Kiviõli ,668630,6583336
Püssi ,673145,6584112
Suure-Jaani ,585363,6488934
Põltsamaa ,614700,6503153
Jõgeva ,638568,6514081
Sindi ,538210,6473537
Pärnu ,530764,6471612
Võhma ,590259,6500008
Jõhvi ,694494,6584995
Valga ,623194,6405963
Kallaste ,683032,6506813
Narva-Jõesuu ,728261,6596251
Tartu ,659624,6473200
Mustvee ,669438,6526887
Otepää ,646882,6437808
Tõrva ,613857,6430527
Tapa ,611098,6569931
Saue ,531696,6575892
Türi ,582020,6519725
Elva ,642136,6456563
Antsla ,650314,6412417
Põlva ,681223,6439584
Tallinn , 542714, 6588646
Narva , 738162, 6589526
Viljandi , 593362, 6470337
Maardu , 555404, 6592440
Rakvere , 634353, 6581110
Sillamäe , 712652, 6590419
Võru , 678768, 6414892
Keila , 523680, 6574455
Loksa , 597052, 6605953
